accion_id,eje_id,eje_completo,objetivo_estrategico,area_programa,titulo_accion,descripcion,indicadores,linea_base_2024,meta_2028,meta_2035,plazo_codigo,plazo_completo,responsable_principal,responsable_completo,financiamiento_principal,financiamiento_completo,ods_principal,ods_total_n,beneficia_nna,beneficia_mujeres,beneficia_adulto_mayor,beneficia_discapacidad,es_inclusiva
219,4,"Eje 4: Desarrollo Urbano, Vivienda, Infraestructura, Vialidad y Medio Ambiente",OE 4.1 Actualizar el Plan Regulador Comunal con enfoque de desarrollo sostenible,Vivienda y Urbanismo Comunal,Actualización Odenanza de Espacios Públicos,Actualizar y modernizar la Ordenanza Municipal de Espacios Públicos para incorporar estándares contemporáneos de planificación urbana que permitan desconcentrar el desarrollo territorial del centro histórico hacia sectores periféricos y rurales. La nueva ordenanza establece criterios para la creació,Ordenanza aprobada por Concejo Municipal (S/N); N° de espacios públicos regulados; Superficie m² nuevos espacios planificados; Zonas periféricas con normativa,"Ordenanza de Espacios Públicos desactualizada; áreas verdes 1,96 m²/hab (déficit vs OMS)",Ordenanza nueva aprobada por Concejo; 5 nuevos espacios públicos regulados en instrumento de planificación,Áreas verdes per cápita >= 4 m²/hab; 15 nuevos parques/plazas habilitados; normativa descentralizadora vigente,C,Corto (2025-2028),SECPLAN,SECPLAN + DOM + Concejo Municipal,Municipal,Municipal + MINVU + GORE,11,3,0,0,0,0,0
87,,,,,Ciudad Verde: Planificación Urbana Sostenible,"Actualizar el Plan Regulador Comunal integrando criterios de sostenibilidad, áreas verdes, movilidad sustentable, gestión de riesgos y participación ciudadana en la planificación territorial.",Avance actualización PRC; Superficie áreas verdes (m²/hab); Participación ciudadana en planificación,PRC desactualizado (16 años) + 1.96 m²/hab áreas verdes,PRC actualizado y aprobado + meta 4 m²/hab áreas verdes,PRC implementado + 7 m²/hab áreas verdes + planificación territorial integral,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM + Depto. Medio Ambiente,Municipal,Municipal + MINVU + SEREMI MINVU + GORE,11,3,0,0,0,0,0
88,,,,,"Desarrollo de Viviendas Sociales""Hogar Digno""","Gestionar y ejecutar proyectos de vivienda social para reducir el déficit habitacional comunal, articulando subsidios MINVU, terrenos municipales y comités de vivienda organizados.",Viviendas sociales construidas; Familias beneficiadas; Reducción déficit habitacional (%),"Déficit habitacional 5,9% (1.401 unidades) + lista de espera extensa",500 viviendas gestionadas + reducción déficit a 20%,"1,500 viviendas + déficit bajo 10% + integración social garantizada",L,Largo (2032-2035),Depto. Vivienda,Depto. Vivienda + SECPLAN + DOM,FNDR,Municipal + MINVU + SERVIU + FNDR + GORE,1,2,0,0,0,0,0
89,,,,,Plan Maestro de Urbanización Sostenible,"Elaborar plan maestro de urbanización sostenible que oriente el crecimiento urbano con infraestructura verde, conectividad, equipamiento comunitario y gestión integrada de recursos hídricos.",Plan maestro elaborado y aprobado; Proyectos derivados en ejecución; Indicadores de sostenibilidad urbana,Sin plan maestro de urbanización sostenible,Plan maestro aprobado + primeros proyectos en ejecución,Plan maestro implementado al 70% + indicadores de sostenibilidad positivos,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM + Depto. Medio Ambiente,Municipal,Municipal + MINVU + MOP + MMA + GORE,6,3,0,0,0,0,0
220,,,OE 4.1 Modernizar la Infraestructura Vial y de Conectividad,Infraestructura Vialidad Comunal y Medio Ambiente,Crecimiento y Resguardo Comunal: Prevención desde los territorios,"Promover un modelo de crecimiento territorial, habitacional y urbano que integre la reserva planificada de suelo para la instalación futura de servicios públicos y equipamiento de emergencia. La iniciativa contempla la incorporación de criterios de resguardo en el Plan Regulador Comunal (PRC), defin",N° de terrenos reservados para servicios de emergencia; PRC actualizado con criterio de resguardo (S/N); N° sectores críticos cubiertos,Sin reserva formal de suelo para emergencia en 4 sectores críticos; sin criterio de resguardo en instrumento de planificación,2 terrenos reservados para cuarteles de Bomberos; PRC con criterio de resguardo incorporado,4 sectores críticos cubiertos con infraestructura de emergencia planificada; suelo resguardado en plan regulador,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM + Alcaldía,FNDR,Municipal + FNDR + GORE + MINVU,11,3,0,0,0,0,0
90,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Ciclovías Conectadas,"Diseñar y construir una red integrada de ciclovías que conectan barrios residenciales con centros de servicios, comercio y equipamiento, promoviendo movilidad sustentable.",Km de ciclovías construidos; Reducción de emisiones estimada; Uso diario de ciclovías,0 km de ciclovías,8 km red básica; 500 usuarios/día,20 km red integrada; 2.000 usuarios/día; -15% emisiones transporte,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM,FNDR,FNDR + MOP + MINVU + Municipal,11,3,0,0,0,0,0
91,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Mejoramiento de Avenida Libertad ""Rosario que Queremos""","Estudiar, Diseñar y Construir mejoras de Avenida Libertad en Rosario como eje estructurante con ciclovía, veredas amplias, arborización y conectividad con Rengo urbano.",Progreso de construcción (%); Satisfacción vecinal; Conectividad mejorada,0% avance; sin diseño,100% diseño; 30% construcción,100% construida; 85% satisfacción; tiempo de viaje Rosario-Rengo -30%,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM,FNDR,FNDR + MOP + GORE + Municipal,9,3,0,0,0,0,0
92,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Mejoramiento Ruta H-50 ""Innovación y Seguridad""","Modernizar la Ruta H 50 con mejoras en pavimentación, señalética, iluminación y seguridad vial, mejorando la conectividad intercomunal de Rengo.",Km modernizados; Reducción de accidentes; Satisfacción de usuarios,Ruta H 50 con tramos deteriorados,5 km modernizados; 20% reducción accidentes,100% ruta modernizada; 40% reducción accidentes; señalética completa,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM,FNDR,MOP + FNDR + GORE,9,3,0,0,0,0,0
93,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Estudiar, Diseñar e Instalar Caseta de reparación de bicicletas en rutas interiores de la comuna","Estudiar, diseñar e instalar casetas de reparación y mantención de bicicletas en las rutas interiores de la comuna de Rengo, ubicadas en puntos estratégicos de conexión urbano-rural, equipadas con herramientas básicas, infladores y kit de emergencia para fomentar la movilidad sustentable en los 592 ",Km de ciclovías construidas; Estaciones de reparación instaladas; Usuarios ciclistas,Por establecer,Avance 50%,100% implementado,M,Mediano (2028-2032),DOM,DOM + SECPLAN,FNDR,FNDR + MINVU + Municipal,6,4,0,0,0,0,0
94,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Paraderos Inteligentes ""Todos Conectados""","Instalar paraderos de transporte público con tecnología inteligente (pantallas informativas, carga USB, iluminación solar, WiFi) mejorando la experiencia del usuario.",Paraderos inteligentes instalados; Satisfacción de usuarios; Reducción tiempos de espera percibidos,Paraderos convencionales sin tecnología,10 paraderos inteligentes; 80% satisfacción,30 paraderos; 90% satisfacción; 100% accesibilidad universal,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM,FNDR,FNDR + MTT + GORE + Municipal,9,3,0,0,0,0,0
95,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Rengo Conectado: Potenciando Movilidad,"Desarrollar una cartera de proyectos integrales de movilidad urbana que incluyan transporte público, ciclovías, veredas accesibles y señalización inteligente para mejorar la conectividad interna.",Proyectos de movilidad ejecutados; Reducción tiempos de desplazamiento; Accesibilidad mejorada,Sin plan integral de movilidad,Plan aprobado; 3 proyectos ejecutados,10 proyectos ejecutados; 20% reducción tiempos; 100% veredas accesibles centro,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM,FNDR,FNDR + MOP + MINVU + MTT + Municipal,9,3,0,0,0,0,0
96,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Estudio, Diseño y Ejecución de Cartera de Proyecto de Movilidad: Mejoramiento de vías de alta frecuencia y conectividad ","Elaborar un estudio técnico y ejecutar la cartera de proyectos de movilidad que mejore vías de alta frecuencia vehicular y conectividad interna de Rengo, priorizando los ejes que vinculan el centro urbano con Rosario, Esmeralda y localidades rurales, con diseño vial actualizado, señalización y carpe",Km de vías mejoradas; Proyectos ejecutados; Reducción tiempos desplazamiento,Por establecer,Avance 50%,100% implementado,C,Corto (2025-2028),DOM,DOM + SECPLAN,FNDR,FNDR + MINVU + Municipal,6,4,0,0,0,0,0
97,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Estudio de nueva zona de ingreso y salida de Rengo,"Desarrollar un estudio de ingeniería para definir una nueva zona de acceso y salida de Rengo que descomprima los puntos críticos de congestión actuales, evaluando alternativas de conexión con la Ruta 5 Sur y el futuro trazado del Metro Tren, con análisis de flujos vehiculares y diseno geometrico.",Estudio de factibilidad completado; Diseño aprobado; Obra ejecutada (%),Por establecer,Avance 50%,100% implementado,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM,FNDR,FNDR + MINVU + SERVIU + Municipal,9,3,0,0,0,0,0
98,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Estudiar vías alternativas en la Comuna de Rengo: Desconcentración del Centro - Periferia,"Desarrollar un estudio técnico de factibilidad para vías alternativas que descongestionan el transito en los ejes principales de la comuna, considerando la conexión Rengo-Rosario, los cruces de la Ruta 5 Sur y la integración con el Metrotren, incluyendo propuestas de diseño vial con estándares de se",Indicador de gestión; Indicador de resultado; Indicador de impacto,Por establecer,Avance 50%,100% implementado,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM,FNDR,FNDR + MINVU + SERVIU + Municipal,9,3,0,0,0,0,0
99,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Soleras, Calles y Ciclovías ""Construyendo el Rengo""","Ejecutar un programa integral de pavimentación, soleras, cunetas y ciclovías en barrios y sectores con déficit vial, mejorando la calidad de vida y movilidad.",Km de ciclovías construidos; Calles mejoradas; Uso de ciclovías,0 km ciclovías; calles sin pavimentar en periferias,3 km ciclovías; 10 calles pavimentadas,12 km ciclovías; 40 calles; red vial integrada,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM,FNDR,FNDR + MINVU + SERVIU + Municipal,9,3,0,0,0,0,0
100,,,OE 4.2 Impulsar programas de regeneración barrial y mejoramiento de viviendas,Vivienda y Urbanismo Comunal,Apoyo al Mejoramiento de Viviendas Existentes,"Gestionar subsidios y programas de mejoramiento de viviendas existentes para familias vulnerables, incluyendo ampliación, reparación, mejoramiento de baños, cocinas y habitabilidad general.",Viviendas mejoradas; Subsidios gestionados; Familias beneficiadas; Inversión en mejoramiento,Gestión limitada de subsidios de mejoramiento,300 viviendas mejoradas + gestión activa de subsidios MINVU,"1,000 viviendas mejoradas + programa permanente + estándar de habitabilidad comunal",M,Mediano (2028-2032),Depto. Vivienda,Depto. Vivienda + DIDECO + SECPLAN,FNDR,Municipal + MINVU + SERVIU + FNDR,1,2,0,0,0,0,0
101,,,,Vivienda y Urbanismo Comunal,"Creación y Restauración de Espacios Públicos""Rengo Verde""","Crear nuevos espacios públicos y restaurar los existentes con áreas verdes, mobiliario urbano, iluminación, juegos infantiles inclusivos y diseño participativo con la comunidad.",Espacios públicos creados/restaurados; Superficie de áreas verdes nuevas (m²); Participación comunitaria en diseño,Déficit crítico de áreas verdes: 1.96 m²/hab,15 espacios restaurados + 5 nuevos + meta 3.5 m²/hab,40 espacios restaurados/nuevos + 6 m²/hab + sistema de mantención comunitaria,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM + Depto. Medio Ambiente + Aseo y Ornato,FNDR,Municipal + MINVU + FNDR + GORE + CONAF,11,3,0,0,0,1,1
102,,,,Vivienda y Urbanismo Comunal,Modernización Vial: Reconstrucción de Calles y Veredas,"Ejecutar plan integral de mejoramiento vial con reconstrucción de calles, veredas, accesibilidad universal, señalética y drenaje en sectores prioritarios de la comuna.",Kilómetros de calles reconstruidos; Veredas con accesibilidad universal; Inversión ejecutada,Infraestructura vial con deterioro significativo en múltiples sectores,20 km de calles reconstruidas + veredas accesibles en centro + drenaje,60 km reconstruidos + 100% veredas accesibles + sistema de drenaje completo,L,Largo (2032-2035),DOM,DOM + SECPLAN + Dirección Tránsito,FNDR,Municipal + MOP + SERVIU + FNDR + GORE,9,2,0,0,0,0,0
103,,,,Vivienda y Urbanismo Comunal,"Proceso de Vivienda Transparente""Postulación Transparente""","Establecer una plataforma digital transparente para la gestión de postulaciones a vivienda social en Rengo, con criterios objetivos de priorización, seguimiento en línea del estado de cada expediente y rendición de cuentas pública a los postulantes, articulando la demanda habitacional con MINVU-SERV",Postulaciones gestionadas en plataforma; Transparencia del proceso (%); Satisfacción de postulantes,Proceso de postulación con baja digitalización y transparencia,Plataforma digital operativa + criterios publicados + seguimiento en línea,Sistema 100% transparente + auditoría externa + 0 reclamos por opacidad,C,Corto (2025-2028),Depto. Vivienda,Depto. Vivienda + Informática + DIDECO,Municipal,Municipal + MINVU + SERVIU,1,3,0,0,0,0,0
104,,,,Vivienda y Urbanismo Comunal,Proyecto Espacio Bisquertt,"Desarrollar proyecto de regeneración urbana del Espacio Bisquertt como polo cultural, deportivo y comunitario, recuperando patrimonio arquitectónico e integrando equipamiento para la comunidad.",Avance del proyecto (diseño/construcción); Superficie habilitada; Usuarios y actividades realizadas,Espacio Bisquertt subutilizado sin proyecto de regeneración,Diseño participativo aprobado + inicio de obras de primera etapa,Espacio Bisquertt completamente habilitado + programación cultural/deportiva permanente,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM + Depto. Cultura + Depto. Deportes,FNDR,Municipal + MINVU + CNCA + FNDR + GORE + MINDEP,11,2,1,0,0,0,1
105,,,,Vivienda y Urbanismo Comunal,"Regularización de Propiedades""Seguridad Jurídica""","Ejecutar un programa de regularizacion de titulos de dominio y saneamiento de propiedades para familias de Rengo que habitan viviendas sin escritura, coordinando con Bienes Nacionales y SERVIU para otorgar seguridad jurídica patrimonial y desbloquear el acceso a subsidios habitacionales y crediticio",Propiedades regularizadas; Familias con título de dominio; Trámites de regularización gestionados,Número significativo de propiedades sin regularizar,300 propiedades regularizadas + convenio con Bienes Nacionales,"1,000 propiedades regularizadas + 100% catastro comunal + programa permanente",M,Mediano (2028-2032),Depto. Vivienda,Depto. Vivienda + Jurídica + DIDECO,Municipal,Municipal + Bienes Nacionales + SERVIU + CBR,1,3,0,0,0,0,0
106,,,OE 4.2 Revitalizar Espacios Públicos y Equipamiento Comunal,Infraestructura Vialidad Comunal y Medio Ambiente,Feria Artesanal San Martín,"Establecer una feria artesanal permanente en el sector San Martín con infraestructura cubierta, servicios básicos y gestión asociativa para artesanos locales.",Artesanos participantes; Ingresos por ventas; Satisfacción de artesanos y visitantes,Feria informal sin infraestructura,1 feria permanente; 30 artesanos; infraestructura básica,1 feria consolidada; 50 artesanos; $60M ventas/año,M,Mediano (2028-2032),DIDECO,DIDECO + DOM,Municipal,Municipal + SERCOTEC + CNCA,1,3,0,0,0,0,0
107,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Mejora Servicios Públicos Básicos,"Instalar y mejorar baños públicos en puntos estratégicos de Rengo y Rosario con diseño accesible, mantenimiento regular y estándares sanitarios.",Baños públicos instalados/mejorados; Satisfacción de usuarios; Cumplimiento mantenimiento,Baños públicos insuficientes y deteriorados,5 baños mejorados/nuevos; protocolo mantenimiento,15 baños operativos; 100% accesibles; 90% satisfacción,C,Corto (2025-2028),DOM,DOM + DAF,FNDR,Municipal + FNDR,6,3,0,0,0,0,0
108,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Programa Municipal Arte Espacios Públicos,"Desarrollar un programa de arte comunitario en espacios públicos de Rengo, Rosario y localidades rurales, con murales participativos, esculturas de artistas locales, intervenciones artísticas temporales y mobiliario urbano creativo que eleve la calidad estética del entorno y fortalezca la identidad ",Proyectos de arte público ejecutados; Participación de artistas y comunidad; Percepción de mejora urbana,0 programas de arte público municipal,5 proyectos; 20 artistas; 3 barrios intervenidos,20 proyectos; 50 artistas; 10 barrios; 80% percepción mejora,M,Mediano (2028-2032),DIDECO,DIDECO + SECPLAN,FNDR,Municipal + CNCA + Fondart + FNDR,11,3,1,0,1,0,1
109,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Remodelación Plazas ""+Verde +Recreativo""","Transformar plazas y espacios públicos con diseño paisajístico, limpieza, equipamiento recreativo, iluminación LED y accesibilidad universal, creando puntos de encuentro comunitario.",Plazas remodeladas; Satisfacción vecinal; Tasa de utilización,Plazas con deterioro y escaso equipamiento,5 plazas remodeladas; 80% satisfacción,15 plazas; 90% satisfacción; 100% con accesibilidad universal,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM,FNDR,FNDR + MINVU + Municipal,11,3,1,0,0,0,1
110,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Rengo Ciudad Inclusiva,"Ejecutar un programa integral de accesibilidad urbana en Rengo que beneficie a las 7.256 personas con discapacidad, instalando rampas normadas, cruces peatonales con semáforos sonoros, señalética braille e inclusiva, espacios universalmente accesibles y mobiliario urbano adaptado en el centro cívico",Rampas y cruces adaptados; Espacios inclusivos creados; Satisfacción de PcD,Accesibilidad urbana deficiente,50 rampas; 10 cruces adaptados; 5 espacios inclusivos,200 rampas; 40 cruces; 100% centro accesible; 85% satisfacción PcD,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM,FNDR,FNDR + SENADIS + MINVU + Municipal,10,3,0,0,1,1,1
111,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Revitalización Mercado y Rodoviario,"Revitalizar el mercado municipal y terminal rodoviario de Rengo, integrando tradición y modernidad con mejoras en infraestructura, servicios y experiencia de usuario.",Visitantes mensuales; Satisfacción de usuarios y comerciantes; Actividad económica generada,Mercado y rodoviario con infraestructura deteriorada,Proyecto de diseño; 20% avance obras,100% revitalizado; 30% más visitantes; 85% satisfacción,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM + DAF,FNDR,FNDR + GORE + Municipal + PPP,8,3,0,0,0,0,0
112,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Sede UOH Ingeniería - Construcción Transparente,"Apoyar la construcción de la sede de Ingeniería de la Universidad de O""Higgins en Rengo con gestión municipal transparente, coordinación interinstitucional y seguimiento comunitario.",Progreso de construcción (%); Transparencia en gestión; Cumplimiento de plazos,Proyecto UOH en fase de planificación,50% avance construcción; 100% transparencia,100% construida; sede operativa; 1.000 estudiantes/año,M,Mediano (2028-2032),Alcaldía,Alcaldía + SECPLAN,Municipal,MINEDUC + GORE + MOP + Municipal,4,3,1,0,0,0,1
113,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Zona Gastronómica Rengo ""Conociendo los Sabores""","Crear una zona gastronómica en el centro de Rengo con infraestructura adecuada, regulación sanitaria y promoción turística para emprendedores culinarios.",Establecimientos gastronómicos integrados; Turistas gastronómicos; Ingresos generados,0 zonas gastronómicas formales,1 zona; 15 establecimientos; 2.000 visitantes/mes,1 zona consolidada; 25 establecimientos; 5.000 visitantes/mes,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM + Oficina Turismo,FNDR,Municipal + SERCOTEC + FNDR,2,3,0,0,0,0,0
114,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Promoción de Recuperación de Espacios Públicos, Aseo y Ornato","Diseñar y ejecutar un plan de recuperación de espacios públicos deteriorados en las 9 unidades vecinales urbanas de Rengo, incorporando mejoramiento de aseo y ornato, iluminación, mobiliario urbano, paisajismo con especies nativas y participación vecinal en el diseño, elevando los 1.96 m2/hab de áre",M2 de espacios públicos recuperados; Indice satisfacción ciudadana; Intervenciones realizadas,Por establecer,Avance 50%,100% implementado,M,Mediano (2028-2032),DOM,DOM + SECPLAN,FNDR,FNDR + MINVU + Municipal,6,4,0,0,0,0,0
115,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Zona Gastronómica Rosario ""Sabores Rosarinos""","Crear una zona gastronómica en Rosario que ponga en valor la cocina tradicional local, con infraestructura adecuada y promoción turística.",Visitantes mensuales; Establecimientos gastronómicos; Impacto económico local,0 zonas gastronómicas en Rosario,1 zona; 10 establecimientos,1 zona consolidada; 20 establecimientos; 3.000 visitantes/mes,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM + Oficina Turismo,FNDR,Municipal + SERCOTEC + FNDR,2,3,0,0,0,0,0
116,,,,Infraestructura Vialidad Comunal y Medio Ambiente,"Estudio, Planificación, Diseño y Ejecución de Cruces Peatonales en Establecimientos educacionales y/o zonas con alta tas","Realizar el estudio, planificación, diseño y ejecución de cruces peatonales seguros en los entornos de los 32 establecimientos educacionales y zonas de alta movilidad peatonal de Rengo, con demarcación horizontal, semaforización, reductores de velocidad y señalética preventiva que proteja a estudian",Km de vías mejoradas; Proyectos ejecutados; Reducción tiempos desplazamiento,Por establecer,Avance 50%,100% implementado,C,Corto (2025-2028),DOM,DOM + SECPLAN,FNDR,FNDR + MINVU + Municipal,6,4,0,0,0,0,0
117,,,OE 4.3 Desarrollar red de ciclovías y promover movilidad sustentable,Vivienda y Urbanismo Comunal,Parque Urbano Las Delicias (Rosario),"Estudiar el diseño el Parque Urbano Las Delicias en sector Rosario, como espacio de recreación, deporte, áreas verdes, juegos infantiles y encuentro comunitario con diseño inclusivo y sostenible.",Avance de diseño y factibilidad; Superficie de área verde (m²); Usuarios del parque,Terreno disponible sin proyecto de parque,Diseño aprobado + inicio de construcción + primera etapa habilitada,Parque completo operativo + equipamiento deportivo + áreas verdes consolidadas,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM + Depto. Medio Ambiente,FNDR,Municipal + MINVU + FNDR + GORE + MINDEP,3,3,0,0,0,1,1
118,,,,Vivienda y Urbanismo Comunal,Red de Transporte Público y Movilidad Sustentable,"Gestionar mejoramiento del transporte público comunal con nuevas rutas, frecuencias, paraderos accesibles, ciclovías y promoción de movilidad sustentable conectando localidades con centro urbano.",Rutas de transporte público; Ciclovías construidas (km); Paraderos accesibles; Frecuencia de servicios,Transporte público insuficiente + 0 km de ciclovías formales,3 nuevas rutas + 5 km ciclovías + paraderos accesibles en centro,Red integrada de transporte + 20 km ciclovías + movilidad eléctrica + 100% paraderos accesibles,L,Largo (2032-2035),Dirección Tránsito,Dirección Tránsito + SECPLAN + DOM,FNDR,Municipal + MTT + DTPR + FNDR + GORE,9,3,0,0,0,0,0
119,,,OE 4.3 Movilidad urbana sustentable,Mitigación Climática,Plan Comunal de Movilidad Sustentable y Baja en Carbono,"Diseñar e implementar plan de movilidad que priorice transporte público eléctrico, movilidad activa e infraestructura ciclo-inclusiva.",Plan de Movilidad aprobado; km ciclovías; % flota pública electrica,Sin plan de movilidad sustentable; dependencia vehículo privado,Plan aprobado + 5 km ciclovías,15 km ciclovías + inicio electrificación flota,M,Mediano (2028-2032),Tránsito,Tránsito + SECPLAN + DOM,FNDR,Municipal + MTT + GORE + FNDR,11,2,0,0,0,1,1
120,,,OE 4.3 Promover el Desarrollo Rural y la Sostenibilidad Ambiental,Infraestructura Vialidad Comunal y Medio Ambiente,"Desarrollo Rural Integral ""Rengo Apoya al Mundo Rural""","Ejecutar un programa de desarrollo rural integral que mejore caminos vecinales, conectividad digital, acceso a agua potable y servicios básicos en las 12 unidades vecinales rurales de Rengo, articulando inversiones de SUBDERE, MOP e INDAP con las prioridades levantadas en la etnografía territorial d",Proyectos rurales ejecutados; Mejora en calidad de vida rural; Servicios básicos ampliados,Sector rural con carencias de servicios básicos,5 proyectos rurales; 500 familias beneficiadas,15 proyectos; 2.000 familias; 95% agua potable; 90% alcantarillado,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM + DIDECO,FNDR,FNDR + MOP + SUBDERE + INDAP + Municipal,6,3,0,0,0,0,0
121,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Modernización Alumbrado LED,"Reemplazar el alumbrado público convencional por tecnología LED de alta eficiencia en toda la comuna, reduciendo consumo energético y mejorando la seguridad nocturna.",Luminarias LED instaladas; Reducción consumo energético (%); Mejora percepción de seguridad,Alumbrado convencional en mayoría de la comuna,40% luminarias LED; 25% reducción consumo,100% LED; 50% reducción consumo; 80% percepción seguridad mejorada,M,Mediano (2028-2032),DOM,DOM + DAF,FNDR,FNDR + Ministerio Energía + Municipal,7,3,1,0,1,0,1
122,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Reforestación y Corredores Verdes,"Ejecutar un programa de reforestación con especies nativas en zonas urbanas y rurales de la comuna, creando corredores verdes que conecten áreas naturales del Río Claro con parques urbanos, mejorando la biodiversidad comunal y contribuyendo a elevar los 1.96 m2/hab de áreas verdes en los 592 km2 del",Árboles plantados; Corredores verdes creados (km); Participación comunitaria en reforestación,"1,96 m²/hab áreas verdes; cobertura vegetal degradada",5.000 árboles; 3 corredores; 3 m²/hab,20.000 árboles; 8 corredores; 5 m²/hab; biodiversidad +30%,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM,FNDR,CONAF + Ministerio Medio Ambiente + FNDR + Municipal,13,3,0,0,0,0,0
123,,,,Infraestructura Vialidad Comunal y Medio Ambiente,Rengo Verde y Limpio: Energías Renovables,"Diseñar un plan de sostenibilidad ambiental que incorpore paneles solares en edificios públicos municipales, puntos limpios de reciclaje en las 21 unidades vecinales, programas de compostaje comunitario y medición de huella de carbono institucional, posicionando a Rengo como comuna comprometida con ",Energía renovable instalada (kW); Residuos reciclados (%); Puntos de reciclaje habilitados,0 kW solar en edificios municipales; reciclaje informal,50 kW solar; 15% reciclaje; 10 puntos limpios,200 kW solar; 30% reciclaje; 25 puntos limpios; huella carbono -20%,M,Mediano (2028-2032),SECPLAN,SECPLAN + DOM,FNDR,FNDR + Ministerio Energía + Ministerio Medio Ambiente + Municipal,7,3,0,0,0,0,0
124,,,OE 4.3 Red Ciclovías Comunal,Infraestructura y MA,Mejoramiento y Modernización de Paraderos en Ruta 5 Sur y Ejes Viales,"Modernizar paraderos de transporte público en Ruta 5 Sur y ejes H-50/H-60 con diseño estandarizado, iluminación solar, paneles informativos, bancas ergonómicas, accesibilidad universal y protección climática.",N paraderos modernizados; satisfacción usuarios; accesibilidad,6 paraderos rurales estado Regular,15 paraderos modernizados Ruta 5 y H-50,30 paraderos + info tiempo real,C,Corto (2025-2028),DOM,DOM + Dir. Transito,FNDR,FNDR + MTT + Municipal,9,2,0,0,0,0,0
125,,,,Infraestructura y MA,Plan de Seguridad Vial en Cruces Críticos de Ruta 5,"Diseñar e instalar pasarelas peatonales, semaforización inteligente, iluminación LED, reductores de velocidad y señalética preventiva en los cruces críticos donde la Ruta 5 Sur intersecta la trama urbana de Rengo, reduciendo la siniestralidad vial y protegiendo a ciclistas y peatones del sector.",N cruces intervenidos; reducción accidentes %; pasarelas,Cruces críticos sin intervencion sistematica,5 cruces intervenidos + 2 pasarelas,10 cruces + semaforización inteligente,C,Corto (2025-2028),DOM,DOM + Dir. Transito,FNDR,FNDR + MOP + Municipal,3,2,1,0,0,0,1
126,,,,Infraestructura y MA,Rutas Inter-Urbanas: Conectividad Vial Rengo-Rosario-Esmeralda,"Sistema de rutas inter-urbanas que conecte los 3 centros urbanos (Rengo 42.238, Rosario 12.000, Esmeralda 3.391) y localidades rurales, mejorando vialidad, señalización, iluminación y seguridad en ejes H-50, H-60 y caminos secundarios.",Km rutas mejoradas; reducción tiempo desplazamiento; accidentes,Rutas sin plan integrado,20 km mejoradas + señalización,50 km + sistema transporte multimodal,M,Mediano (2028-2032),DOM,DOM + Dir. Transito + SECPLAN,FNDR,FNDR + MOP + MTT + Municipal,9,2,0,0,0,0,0
